date,source,category_l1,category_l2,keyword,ratio,rescaled,batch_id,gender,age_group,cid,is_anchor
2026-07-10,naver_datalab_keyword,패션의류,,반바지,66.2585,2.6182796888657762,kw_b01,,,50000000,False
2026-07-10,naver_datalab_keyword,패션의류,,린넨팬츠,8.57142,0.3387093714880037,kw_b01,,,50000000,False
2026-07-11,naver_datalab_keyword,패션의류,,반팔티,37.68707,1.0,kw_b01,,,50000000,True
2026-07-11,naver_datalab_keyword,패션의류,,민소매,17.95918,0.4765342596280369,kw_b01,,,50000000,False
2026-07-11,naver_datalab_keyword,패션의류,,린넨셔츠,37.14285,0.9855595035644852,kw_b01,,,50000000,False
2026-07-11,naver_datalab_keyword,패션의류,,반바지,82.58503,2.1913359144130866,kw_b01,,,50000000,False
2026-07-11,naver_datalab_keyword,패션의류,,린넨팬츠,9.93197,0.2635378659046724,kw_b01,,,50000000,False
2026-07-12,naver_datalab_keyword,패션의류,,반팔티,39.59183,1.0,kw_b01,,,50000000,True
2026-07-12,naver_datalab_keyword,패션의류,,민소매,23.94557,0.604810891539997,kw_b01,,,50000000,False
2026-07-12,naver_datalab_keyword,패션의류,,린넨셔츠,35.64625,0.9003435809862792,kw_b01,,,50000000,False
2026-07-12,naver_datalab_keyword,패션의류,,반바지,100.0,2.5257736255181937,kw_b01,,,50000000,False
2026-07-12,naver_datalab_keyword,패션의류,,린넨팬츠,13.06122,0.32989684993090745,kw_b01,,,50000000,False
2026-07-13,naver_datalab_keyword,패션의류,,반팔티,35.5102,1.0,kw_b01,,,50000000,True
2026-07-13,naver_datalab_keyword,패션의류,,민소매,15.10204,0.4252873822169405,kw_b01,,,50000000,False
2026-07-13,naver_datalab_keyword,패션의류,,린넨셔츠,42.72108,1.2030650348350616,kw_b01,,,50000000,False
2026-07-13,naver_datalab_keyword,패션의류,,반바지,85.44217,2.406130351279351,kw_b01,,,50000000,False
2026-07-13,naver_datalab_keyword,패션의류,,린넨팬츠,7.07482,0.19923345968200687,kw_b01,,,50000000,False
2026-07-14,naver_datalab_keyword,패션의류,,반팔티,42.17687,1.0,kw_b01,,,50000000,True
2026-07-14,naver_datalab_keyword,패션의류,,민소매,19.45578,0.4612902759261178,kw_b01,,,50000000,False
2026-07-14,naver_datalab_keyword,패션의류,,린넨셔츠,28.02721,0.6645161198543182,kw_b01,,,50000000,False
2026-07-14,naver_datalab_keyword,패션의류,,반바지,82.72108,1.9612901573777286,kw_b01,,,50000000,False
2026-07-14,naver_datalab_keyword,패션의류,,린넨팬츠,6.39455,0.15161272043183857,kw_b01,,,50000000,False
2026-07-15,naver_datalab_keyword,패션의류,,반팔티,28.97959,1.0,kw_b01,,,50000000,True
2026-07-15,naver_datalab_keyword,패션의류,,민소매,14.42176,0.4976523132314846,kw_b01,,,50000000,False
2026-07-15,naver_datalab_keyword,패션의류,,린넨셔츠,40.13605,1.3849764610196347,kw_b01,,,50000000,False
2026-07-15,naver_datalab_keyword,패션의류,,반바지,78.09523,2.694835572207888,kw_b01,,,50000000,False
2026-07-15,naver_datalab_keyword,패션의류,,린넨팬츠,3.94557,0.13614995933344812,kw_b01,,,50000000,False
2026-07-16,naver_datalab_keyword,패션의류,,반팔티,36.05442,1.0,kw_b01,,,50000000,True
2026-07-16,naver_datalab_keyword,패션의류,,민소매,15.10204,0.4188679224350302,kw_b01,,,50000000,False
2026-07-16,naver_datalab_keyword,패션의류,,린넨셔츠,22.44897,0.6226412739408926,kw_b01,,,50000000,False
2026-07-16,naver_datalab_keyword,패션의류,,반바지,48.70748,1.3509433794802412,kw_b01,,,50000000,False
2026-07-16,naver_datalab_keyword,패션의류,,린넨팬츠,2.99319,0.08301867011034984,kw_b01,,,50000000,False
2026-07-17,naver_datalab_keyword,패션의류,,반팔티,37.68707,1.0,kw_b01,,,50000000,True
2026-07-17,naver_datalab_keyword,패션의류,,민소매,17.82312,0.472924002847661,kw_b01,,,50000000,False
2026-07-17,naver_datalab_keyword,패션의류,,린넨셔츠,25.30612,0.671480165478505,kw_b01,,,50000000,False
2026-07-17,naver_datalab_keyword,패션의류,,반바지,57.68707,1.5306859885897206,kw_b01,,,50000000,False
2026-07-17,naver_datalab_keyword,패션의류,,린넨팬츠,5.85034,0.1552346733242993,kw_b01,,,50000000,False
2026-07-18,naver_datalab_keyword,패션의류,,반팔티,33.87755,1.0,kw_b01,,,50000000,True
2026-07-18,naver_datalab_keyword,패션의류,,민소매,21.36054,0.6305219828470477,kw_b01,,,50000000,False
2026-07-18,naver_datalab_keyword,패션의류,,린넨셔츠,24.62585,0.7269076423767362,kw_b01,,,50000000,False
2026-07-18,naver_datalab_keyword,패션의류,,반바지,70.88435,2.092369430493055,kw_b01,,,50000000,False
2026-07-18,naver_datalab_keyword,패션의류,,린넨팬츠,5.98639,0.17670669809357525,kw_b01,,,50000000,False
2026-07-19,naver_datalab_keyword,패션의류,,반팔티,38.77551,1.0,kw_b01,,,50000000,True
2026-07-19,naver_datalab_keyword,패션의류,,민소매,17.82312,0.459648886629731,kw_b01,,,50000000,False
2026-07-19,naver_datalab_keyword,패션의류,,린넨셔츠,29.38775,0.757894609252077,kw_b01,,,50000000,False
2026-07-19,naver_datalab_keyword,패션의류,,반바지,73.19727,1.8877190783564164,kw_b01,,,50000000,False
2026-07-19,naver_datalab_keyword,패션의류,,린넨팬츠,6.53061,0.16842099562326843,kw_b01,,,50000000,False
2026-07-20,naver_datalab_keyword,패션의류,,반팔티,35.23809,1.0,kw_b01,,,50000000,True
2026-07-20,naver_datalab_keyword,패션의류,,민소매,19.18367,0.5444015268704973,kw_b01,,,50000000,False
2026-07-20,naver_datalab_keyword,패션의류,,린넨셔츠,28.97959,0.8223938925180111,kw_b01,,,50000000,False
2026-07-20,naver_datalab_keyword,패션의류,,반바지,68.29931,1.9382239502765333,kw_b01,,,50000000,False
2026-07-20,naver_datalab_keyword,패션의류,,린넨팬츠,3.94557,0.11196889502240331,kw_b01,,,50000000,False
2026-07-21,naver_datalab_keyword,패션의류,,반팔티,27.34693,1.0,kw_b01,,,50000000,True
2026-07-21,naver_datalab_keyword,패션의류,,민소매,17.82312,0.651741164364702,kw_b01,,,50000000,False
2026-07-21,naver_datalab_keyword,패션의류,,린넨셔츠,28.84353,1.054726435471916,kw_b01,,,50000000,False
2026-07-21,naver_datalab_keyword,패션의류,,반바지,60.40816,2.2089558133216416,kw_b01,,,50000000,False
2026-07-21,naver_datalab_keyword,패션의류,,린넨팬츠,5.85034,0.2139304119328934,kw_b01,,,50000000,False
2026-07-22,naver_datalab_keyword,패션의류,,반팔티,31.97278,1.0,kw_b01,,,50000000,True
2026-07-22,naver_datalab_keyword,패션의류,,민소매,15.23809,0.47659571673154477,kw_b01,,,50000000,False
2026-07-22,naver_datalab_keyword,패션의류,,린넨셔츠,27.89115,0.872340472114092,kw_b01,,,50000000,False
2026-07-22,naver_datalab_keyword,패션의류,,반바지,79.59183,2.489362201222415,kw_b01,,,50000000,False
2026-07-22,naver_datalab_keyword,패션의류,,린넨팬츠,3.94557,0.12340403305561794,kw_b01,,,50000000,False
2026-07-23,naver_datalab_keyword,패션의류,,반팔티,33.19727,1.0,kw_b01,,,50000000,True
2026-07-23,naver_datalab_keyword,패션의류,,민소매,17.68707,0.5327868827768065,kw_b01,,,50000000,False
2026-07-23,naver_datalab_keyword,패션의류,,린넨셔츠,25.98639,0.7827869580842038,kw_b01,,,50000000,False
2026-07-23,naver_datalab_keyword,패션의류,,반바지,71.56462,2.1557381073805164,kw_b01,,,50000000,False
2026-07-23,naver_datalab_keyword,패션의류,,린넨팬츠,8.16326,0.24590154551865254,kw_b01,,,50000000,False
2026-07-24,naver_datalab_keyword,패션의류,,반팔티,40.68027,1.0,kw_b01,,,50000000,True
2026-07-24,naver_datalab_keyword,패션의류,,민소매,18.5034,0.4548494884620972,kw_b01,,,50000000,False
2026-07-24,naver_datalab_keyword,패션의류,,린넨셔츠,27.89115,0.6856186057762154,kw_b01,,,50000000,False
2026-07-24,naver_datalab_keyword,패션의류,,반바지,56.05442,1.3779264493573913,kw_b01,,,50000000,False
2026-07-24,naver_datalab_keyword,패션의류,,린넨팬츠,4.35374,0.10702338012997456,kw_b01,,,50000000,False
2026-07-25,naver_datalab_keyword,패션의류,,반팔티,34.69387,1.0,kw_b01,,,50000000,True
2026-07-25,naver_datalab_keyword,패션의류,,민소매,13.46938,0.38823515508647494,kw_b01,,,50000000,False
2026-07-25,naver_datalab_keyword,패션의류,,린넨셔츠,19.72789,0.5686275414071708,kw_b01,,,50000000,False
2026-07-25,naver_datalab_keyword,패션의류,,반바지,61.7687,1.7803923286736247,kw_b01,,,50000000,False
2026-07-25,naver_datalab_keyword,패션의류,,린넨팬츠,12.38095,0.3568627541407171,kw_b01,,,50000000,False
2026-07-26,naver_datalab_keyword,패션의류,,반팔티,43.40136,1.0,kw_b01,,,50000000,True
2026-07-26,naver_datalab_keyword,패션의류,,민소매,24.89795,0.573667507193323,kw_b01,,,50000000,False
2026-07-26,naver_datalab_keyword,패션의류,,린넨셔츠,27.07482,0.6238242303927803,kw_b01,,,50000000,False
2026-07-26,naver_datalab_keyword,패션의류,,반바지,87.89115,2.0250782463959656,kw_b01,,,50000000,False
2026-07-26,naver_datalab_keyword,패션의류,,린넨팬츠,9.11564,0.21003120639537567,kw_b01,,,50000000,False
2026-07-27,naver_datalab_keyword,패션의류,,반팔티,35.78231,1.0,kw_b01,,,50000000,True
2026-07-27,naver_datalab_keyword,패션의류,,민소매,9.79591,0.2737640470947795,kw_b01,,,50000000,False
2026-07-27,naver_datalab_keyword,패션의류,,린넨셔츠,24.7619,0.6920151326172066,kw_b01,,,50000000,False
2026-07-27,naver_datalab_keyword,패션의류,,반바지,94.28571,2.6349810842284915,kw_b01,,,50000000,False
2026-07-27,naver_datalab_keyword,패션의류,,린넨팬츠,14.28571,0.39923945659181864,kw_b01,,,50000000,False
2026-07-28,naver_datalab_keyword,패션의류,,반팔티,25.03401,1.0,kw_b01,,,50000000,True
2026-07-28,naver_datalab_keyword,패션의류,,민소매,15.10204,0.6032609238392092,kw_b01,,,50000000,False
2026-07-28,naver_datalab_keyword,패션의류,,린넨셔츠,27.48299,1.0978261173499573,kw_b01,,,50000000,False
2026-07-28,naver_datalab_keyword,패션의류,,반바지,82.72108,3.304347965028376,kw_b01,,,50000000,False
2026-07-28,naver_datalab_keyword,패션의류,,린넨팬츠,8.43537,0.3369564045073083,kw_b01,,,50000000,False
2026-07-29,naver_datalab_keyword,패션의류,,반팔티,17.82312,1.0,kw_b01,,,50000000,True
2026-07-29,naver_datalab_keyword,패션의류,,민소매,15.91836,0.8931298223879994,kw_b01,,,50000000,False
2026-07-29,naver_datalab_keyword,패션의류,,린넨셔츠,25.03401,1.404580679476994,kw_b01,,,50000000,False
2026-07-29,naver_datalab_keyword,패션의류,,반바지,80.0,4.4885519482559735,kw_b01,,,50000000,False
2026-07-29,naver_datalab_keyword,패션의류,,린넨팬츠,4.62585,0.2595421003729987,kw_b01,,,50000000,False
2026-07-30,naver_datalab_keyword,패션의류,,반팔티,34.55782,1.0,kw_b01,,,50000000,True
2026-07-30,naver_datalab_keyword,패션의류,,민소매,7.34693,0.2125981905108598,kw_b01,,,50000000,False
2026-07-30,naver_datalab_keyword,패션의류,,린넨셔츠,25.85034,0.7480315598611255,kw_b01,,,50000000,False
2026-07-30,naver_datalab_keyword,패션의류,,반바지,75.5102,2.185039449826407,kw_b01,,,50000000,False
2026-07-30,naver_datalab_keyword,패션의류,,린넨팬츠,4.62585,0.1338582699950402,kw_b01,,,50000000,False
2026-07-31,naver_datalab_keyword,패션의류,,반팔티,22.72108,1.0,kw_b01,,,50000000,True
2026-07-31,naver_datalab_keyword,패션의류,,민소매,11.42857,0.5029941358421343,kw_b01,,,50000000,False
2026-07-31,naver_datalab_keyword,패션의류,,린넨셔츠,25.71428,1.131736695614821,kw_b01,,,50000000,False
2026-07-31,naver_datalab_keyword,패션의류,,반바지,56.59863,2.491018472713445,kw_b01,,,50000000,False
2026-07-31,naver_datalab_keyword,패션의류,,린넨팬츠,3.53741,0.1556884619921236,kw_b01,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,반팔티,67.57493,1.0,kw_b02,,,50000000,True
2026-07-01,naver_datalab_keyword,패션의류,,패딩,1.63487,0.024193439786027157,kw_b02,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,롱패딩,2.72479,0.040322498299295316,kw_b02,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,코트,4.35967,0.06451608606919756,kw_b02,,,50000000,False
2026-07-01,naver_datalab_keyword,패션의류,,무스탕,4.08719,0.06048382144088051,kw_b02,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,반팔티,85.01362,1.0,kw_b02,,,50000000,True
2026-07-02,naver_datalab_keyword,패션의류,,패딩,1.08991,0.012820416305057942,kw_b02,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,롱패딩,5.17711,0.0608974185548151,kw_b02,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,코트,7.08446,0.08333323530982446,kw_b02,,,50000000,False
2026-07-02,naver_datalab_keyword,패션의류,,무스탕,4.08719,0.048076884621546516,kw_b02,,,50000000,False
2026-07-03,naver_datalab_keyword,패션의류,,반팔티,67.30245,1.0,kw_b02,,,50000000,True
2026-07-03,naver_datalab_keyword,패션의류,,패딩,1.63487,0.024291389095047806,kw_b02,,,50000000,False
2026-07-03,naver_datalab_keyword,패션의류,,롱패딩,1.36239,0.02024279948203966,kw_b02,,,50000000,False
