tm_fc,tm_ef,ta_min,ta_max
202301100600,202301170000,-7.0,1.0
202301100600,202301180000,-5.0,2.0
202301100600,202301190000,-5.0,2.0
202301100600,202301200000,-8.0,-2.0
202301101800,202301130000,8.0,12.0
202301101800,202301140000,5.0,7.0
202301101800,202301150000,0.0,2.0
202301101800,202301160000,-4.0,0.0
202301101800,202301170000,-7.0,0.0
202301101800,202301180000,-6.0,2.0
202301101800,202301190000,-5.0,1.0
202301101800,202301200000,-7.0,0.0
202301110600,202301140000,5.0,7.0
202301110600,202301150000,0.0,2.0
202301110600,202301160000,-4.0,0.0
202301110600,202301170000,-7.0,0.0
202301110600,202301180000,-6.0,2.0
202301110600,202301190000,-5.0,1.0
202301110600,202301200000,-7.0,0.0
202301110600,202301210000,-5.0,0.0
202301111800,202301140000,6.0,7.0
202301111800,202301150000,0.0,2.0
202301111800,202301160000,-4.0,1.0
202301111800,202301170000,-7.0,0.0
202301111800,202301180000,-6.0,2.0
202301111800,202301190000,-5.0,1.0
202301111800,202301200000,-7.0,0.0
202301111800,202301210000,-5.0,0.0
202301120600,202301150000,0.0,3.0
202301120600,202301160000,-5.0,2.0
202301120600,202301170000,-7.0,1.0
202301120600,202301180000,-4.0,2.0
202301120600,202301190000,-5.0,3.0
202301120600,202301200000,-6.0,-1.0
202301120600,202301210000,-8.0,-1.0
202301120600,202301220000,-5.0,2.0
202301121800,202301150000,-1.0,2.0
202301121800,202301160000,-5.0,2.0
202301121800,202301170000,-7.0,1.0
202301121800,202301180000,-4.0,2.0
202301121800,202301190000,-5.0,3.0
202301121800,202301200000,-6.0,-1.0
202301121800,202301210000,-8.0,-1.0
202301121800,202301220000,-5.0,2.0
202301130600,202301160000,-5.0,1.0
202301130600,202301170000,-8.0,2.0
202301130600,202301180000,-4.0,3.0
202301130600,202301190000,-5.0,4.0
202301130600,202301200000,-7.0,-2.0
202301130600,202301210000,-9.0,-2.0
202301130600,202301220000,-6.0,2.0
202301130600,202301230000,-6.0,-1.0
202301131800,202301160000,-6.0,1.0
202301131800,202301170000,-8.0,1.0
202301131800,202301180000,-4.0,2.0
202301131800,202301190000,-4.0,3.0
202301131800,202301200000,-8.0,-4.0
202301131800,202301210000,-10.0,-1.0
202301131800,202301220000,-6.0,2.0
202301131800,202301230000,-8.0,-1.0
202301140600,202301170000,-8.0,2.0
202301140600,202301180000,-4.0,3.0
202301140600,202301190000,-5.0,4.0
202301140600,202301200000,-6.0,-3.0
202301140600,202301210000,-9.0,-1.0
202301140600,202301220000,-5.0,3.0
202301140600,202301230000,-7.0,-2.0
202301140600,202301240000,-10.0,-2.0
202301141800,202301170000,-8.0,1.0
202301141800,202301180000,-4.0,2.0
202301141800,202301190000,-5.0,3.0
202301141800,202301200000,-6.0,-3.0
202301141800,202301210000,-9.0,-1.0
202301141800,202301220000,-5.0,2.0
202301141800,202301230000,-8.0,-2.0
202301141800,202301240000,-11.0,-3.0
202301150600,202301180000,-4.0,2.0
202301150600,202301190000,-5.0,3.0
202301150600,202301200000,-6.0,-3.0
202301150600,202301210000,-9.0,-1.0
202301150600,202301220000,-5.0,2.0
202301150600,202301230000,-8.0,-2.0
202301150600,202301240000,-11.0,-4.0
202301150600,202301250000,-10.0,-2.0
202301151800,202301180000,-4.0,3.0
202301151800,202301190000,-5.0,4.0
202301151800,202301200000,-7.0,-3.0
202301151800,202301210000,-9.0,-1.0
202301151800,202301220000,-5.0,2.0
202301151800,202301230000,-8.0,-2.0
202301151800,202301240000,-11.0,-5.0
202301151800,202301250000,-11.0,-3.0
202301160600,202301190000,-5.0,4.0
202301160600,202301200000,-7.0,-3.0
202301160600,202301210000,-9.0,-1.0
202301160600,202301220000,-5.0,2.0
